ObjectID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,Species,Decay_Class,Tree Damage Code,Damage Agent,Beetle,Cone Production,Shrubs under trees,Diameter_Units,DBH,DBH_cm,Height_Units,Height,CBH,CR,Max Crown Scorch Ht,Max Stem Char Ht,Notes,CreationDate,EditDate
994,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,G,None,>half,cm,12.83464567,32.6,ft,46.2,8.6,81.38528139,,,,7/30/2020 21:20,7/30/2020 21:20
754,LonePine,Pre,LTR,No,Bradfield,,53,70_BA,PIPO,L,,,G,None,>half,cm,5.078740157,12.9,ft,25.6,8,68.75,,,,7/30/2020 21:20,7/30/2020 21:20
751,LonePine,Pre,LTR,No,Bradfield,,53,70_BA,PIPO,L,,,G,None,>half,cm,15.70866142,39.9,ft,51.5,13.6,73.59223301,,,,7/30/2020 21:20,7/30/2020 21:20
753,LonePine,Pre,LTR,No,Bradfield,,53,70_BA,PIPO,L,,,G,None,>half,cm,18.18897638,46.2,ft,64.2,20.1,68.69158879,,,,7/30/2020 21:20,7/30/2020 21:20
752,LonePine,Pre,LTR,No,Bradfield,,53,70_BA,PIPO,L,,,G,None,>half,cm,19.33070866,49.1,ft,54.1,6,88.90942699,,,,7/30/2020 21:20,7/30/2020 21:20
917,LonePine,Pre,LTR,No,Best,,54,70_BA,PIPO,L,,,G,None,<half,cm,4.960629921,12.6,ft,14.3,5,65.03496503,,,,7/30/2020 21:20,7/30/2020 21:20
926,LonePine,Pre,LTR,No,Best,,54,70_BA,PIPO,L,,,G,None,<half,cm,5.118110236,13,,33,18.2,44.84848485,,,,7/30/2020 21:20,7/30/2020 21:20
934,LonePine,Pre,LTR,No,Best,,54,70_BA,PIPO,L,,,G,,,cm,5.275590551,13.4,,18.1,4,77.90055249,,,,7/30/2020 21:20,7/30/2020 21:20
931,LonePine,Pre,LTR,No,Best,,54,70_BA,PIPO,L,,,G,None,<half,cm,6.456692913,16.4,,24.4,2,91.80327869,,,,7/30/2020 21:20,7/30/2020 21:20
935,LonePine,Pre,LTR,No,Best,,54,70_BA,PIPO,L,,,G,None,<half,cm,6.496062992,16.5,ft,19.1,10.4,45.54973822,,,,7/30/2020 21:20,7/30/2020 21:20
925,LonePine,Pre,LTR,No,Best,,54,70_BA,PIPO,L,,,G,None,>half,cm,6.771653543,17.2,,22.7,9.6,57.7092511,,,,7/30/2020 21:20,7/30/2020 21:20
